ticker,exchange,assetType,priceCurrency,startDate,endDate
000001,SHE,Stock,CNY,2007-01-04,2021-07-12
000002,SHE,Stock,CNY,2007-01-04,2021-07-12
000003,SHE,Stock,CNY,,
000004,SHE,Stock,CNY,2007-08-31,2021-07-12
000005,SHE,Stock,CNY,2007-08-31,2021-07-12
000006,SHE,Stock,CNY,2007-01-04,2021-07-12
000007,SHE,Stock,CNY,2007-08-31,2021-07-12
000008,SHE,Stock,CNY,2007-01-04,2021-07-12
000009,SHE,Stock,CNY,2007-01-05,2021-07-12
000010,SHE,Stock,CNY,2007-08-31,2021-07-12
000011,SHE,Stock,CNY,2007-01-04,2021-07-12
000012,SHE,Stock,CNY,2007-01-04,2021-07-12
000013,SHE,Stock,CNY,,
000014,SHE,Stock,CNY,2007-01-04,2021-07-12
000015,SHE,Stock,CNY,,
000016,SHE,Stock,CNY,2007-01-04,2021-07-12
000017,SHE,Stock,CNY,2010-03-18,2021-07-12
000018,SHE,Stock,CNY,2007-08-31,2020-01-06
000019,SHE,Stock,CNY,2007-10-12,2021-07-12
000020,SHE,Stock,CNY,2007-08-31,2021-07-12
000021,SHE,Stock,CNY,2007-01-04,2021-07-12
000022,SHE,Stock,CNY,2018-07-10,2018-12-20
000023,SHE,Stock,CNY,2007-01-04,2021-07-12
000024,SHE,Stock,CNY,,
000025,SHE,Stock,CNY,2007-01-04,2021-07-12
000026,SHE,Stock,CNY,2007-01-04,2021-07-12
000027,SHE,Stock,CNY,2007-01-04,2021-07-12
000028,SHE,Stock,CNY,2007-01-04,2021-07-12
000029,SHE,Stock,CNY,2007-08-31,2021-07-12
000030,SHE,Stock,CNY,2007-01-04,2021-07-12
000031,SHE,Stock,CNY,2007-08-31,2021-07-12
000032,SHE,Stock,CNY,2007-01-04,2021-07-12
000033,SHE,Stock,CNY,2007-08-31,2017-07-06
000034,SHE,Stock,CNY,2007-08-31,2021-07-12
000035,SHE,Stock,CNY,2007-09-28,2021-07-12
000036,SHE,Stock,CNY,2007-01-04,2021-07-12
000037,SHE,Stock,CNY,2007-01-04,2021-07-12
000038,SHE,Stock,CNY,2013-02-08,2021-07-12
000039,SHE,Stock,CNY,2007-01-04,2021-07-12
000040,SHE,Stock,CNY,2007-08-31,2021-07-12
000042,SHE,Stock,CNY,2007-01-04,2021-07-12
000043,SHE,Stock,CNY,2018-01-01,2019-12-13
000045,SHE,Stock,CNY,2007-08-31,2021-07-12
000046,SHE,Stock,CNY,2007-01-04,2021-07-12
000047,SHE,Stock,CNY,,
000048,SHE,Stock,CNY,2007-01-04,2021-07-12
000049,SHE,Stock,CNY,2007-01-04,2021-07-12
000050,SHE,Stock,CNY,2007-01-04,2021-07-12
000055,SHE,Stock,CNY,2007-01-04,2021-07-12
000056,SHE,Stock,CNY,2007-08-31,2021-07-09
000058,SHE,Stock,CNY,2007-01-04,2021-07-12
000059,SHE,Stock,CNY,2007-01-04,2021-07-12
000060,SHE,Stock,CNY,2007-01-04,2021-07-12
000061,SHE,Stock,CNY,2007-10-12,2021-07-12
000062,SHE,Stock,CNY,2007-01-04,2021-07-12
000063,SHE,Stock,CNY,2007-01-04,2021-07-12
000065,SHE,Stock,CNY,2007-01-04,2021-07-12
000066,SHE,Stock,CNY,2007-08-30,2021-07-12
000068,SHE,Stock,CNY,2007-08-30,2021-07-09
000069,SHE,Stock,CNY,2007-01-04,2021-07-12
000070,SHE,Stock,CNY,2007-01-04,2021-07-12
000078,SHE,Stock,CNY,2007-08-30,2021-07-12
000088,SHE,Stock,CNY,2007-01-04,2021-07-12
000089,SHE,Stock,CNY,2007-01-04,2021-07-12
000090,SHE,Stock,CNY,2007-01-04,2021-07-12
000096,SHE,Stock,CNY,2007-01-04,2021-07-12
000099,SHE,Stock,CNY,2007-01-04,2021-07-08
000100,SHE,Stock,CNY,2007-01-04,2021-07-12
000150,SHE,Stock,CNY,2007-11-02,2021-07-12
000151,SHE,Stock,CNY,2007-01-04,2021-07-12
